"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","anticipation","regimetenure","lastelection","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence"
"830","Finland",375,2003,3,"3/16/2003","peace",0,"peace",0,1,37,0,32921.37891,1.221185088,1.1939224,73.25032806,0.000516885,-1.299668603,7,10,10,15,0,15,0,-0.360058277845383
"831","Finland",375,2007,3,"3/18/2007","peace",0,"peace",0,1,46,0,48463.30859,1.175140142,1.064710736,73.51080322,0.000488477,-0.458164647,7,10,10,18,0,18,0,-0.360058277845383
"832","Finland",375,2011,4,"4/17/2011","peace",0,"peace",0,1,11,0,50960.17969,1.098475933,0.875468791,73.81414032,7.08e-05,-0.64610055,7,10,10,19,0,19,0,-0.360058277845383
"833","Finland",375,2015,4,"4/9/2015","peace",0,"peace",0,1,11,0,42501.25,0.848534107,0.641853869,74.59554651,0.000532949,0.025670022,7,10,10,22,0,22,0,-0.360058277845383
"834","Finland",375,1975,9,"9/21/1975","peace",0,"peace",0,0,235,4.532599449,5976.343262,1.151863933,2.302585125,71.53707123,0.000931367,-0.043424886,7,10,10,1,0,1,0,-0.360058277845383
"835","Sweden",380,1976,9,"9/19/1976","peace",0,"peace",0,1,84,0,11064.62109,1.072888017,2.116255522,81.25790405,5.39e-05,-0.03994756,7,10,10,1,0,1,0,-0.350920110940933
"836","Sweden",380,1979,9,"9/16/1979","peace",0,"peace",0,1,12,0,14721.3623,1.150369883,2.001480103,81.42320251,0.000467616,0.017879608,7,10,10,2,0,2,0,-0.360058277845383
"837","Sweden",380,1982,9,"9/19/1982","peace",0,"peace",0,1,36,0,13376.54004,0.882540941,1.916922688,81.48468781,0.000953226,0.654626946,7,10,10,3,0,3,0,-0.360058277845383
"838","Sweden",380,1985,9,"9/15/1985","peace",0,"peace",0,1,36,0,13348.51953,1.044342875,1.85629797,81.54420471,7.68e-05,0.726869671,7,10,10,4,0,4,0,-0.360058277845383
"839","Sweden",380,1988,9,"9/18/1988","peace",0,"peace",0,1,31,0,23953.86914,1.125409007,1.824549317,81.77252197,0.000670388,0.174430525,7,10,10,5,0,5,0,-0.360058277845383
"840","Sweden",380,1991,9,"9/15/1991","peace",0,"peace",0,1,67,0,31082.06055,1.043229461,1.704748034,82.11217499,0.002277567,-0.133574035,7,10,10,6,0,6,0,-0.357012212276459
"841","Sweden",380,1994,9,"9/18/1994","peace",0,"peace",0,1,36,0,25646.91992,1.068116546,1.481604576,82.47331238,0.000707184,-1.533868504,7,10,10,7,0,7,0,-0.360058277845383
"842","Sweden",380,1998,9,"9/20/1998","peace",0,"peace",0,1,31,0,30135.41016,1.008002996,1.252762914,82.60237885,7.23e-05,0.803094296,7,10,10,8,0,8,0,-0.357012212276459
"843","Sweden",380,2002,9,"9/15/2002","peace",0,"peace",0,1,79,0,29520.92969,1.096054316,1.1939224,82.70310211,0.0003191,0.097642853,7,10,10,9,0,9,0,-0.360058277845383
"844","Sweden",380,2006,9,"9/17/2006","peace",0,"peace",0,1,127,0,46088.53906,1.071855426,1.029619455,83.08537292,0.000347668,-1.237240706,7,10,10,10,0,10,0,-0.360058277845383
"845","Sweden",380,2010,9,"9/19/2010","peace",0,"peace",0,1,48,0,51869.16016,1.12763083,0.91629076,83.65679932,4e-05,-0.027280241,7,10,10,11,0,11,0,-0.360058277845383
"846","Sweden",380,2014,9,"9/14/2014","peace",0,"peace",0,1,96,0,58869.07031,0.981066167,0.875468791,84.66902272,0.00025932,-1.540762071,7,10,10,12,0,12,0,-0.360058277845383
"847","Sweden",380,2018,9,"9/9/2018","peace",0,"peace",0,1,48,3.891820192,57782.82031,1.085161328,0.875468791,85.66616622,0.000595103,-0.198783482,7,10,10,13,0,13,0,-0.343815922737122
"848","Norway",385,1977,9,"9/11/1977","peace",0,"peace",0,1,21,0,10855.92969,1.129013658,2.230014324,68.97466278,7.05e-05,0.410256404,7,10,10,1,0,1,0,-0.360058277845383
"849","Norway",385,1981,9,"9/13/1981","peace",0,"peace",0,1,8,0,15486.75,0.983389974,2.079441547,69.20025635,0.000645156,1.009966001,7,10,10,2,0,2,0,-0.360058277845383
"850","Norway",385,1985,9,"9/8/1985","peace",0,"peace",0,1,48,0,15732.94043,1.050667763,2.116255522,69.41757965,8.66e-05,-0.504444379,7,10,10,3,0,3,0,-0.360058277845383
"851","Norway",385,1989,9,"9/10/1989","peace",0,"peace",0,1,41,0,24248.74023,1.00428164,2.014903069,69.69136047,0.001231129,0.917584582,7,10,10,4,0,4,0,-0.360058277845383
"852","Norway",385,1993,9,"9/12/1993","peace",0,"peace",0,1,35,0,27808.66992,0.913394511,1.667706847,70.03646851,0.000711787,0.095925509,7,10,10,5,0,5,0,-0.360058277845383
"853","Norway",385,1997,9,"9/15/1997","peace",0,"peace",0,1,12,0,36565.44922,0.982271731,1.435084462,70.43120575,0.000675823,0.179466088,7,10,10,6,0,6,0,-0.360058277845383
